Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
org.jfree.chart.renderer.xy.CandlestickRenderer,414.0,30.0,91.0,35.0,1.0,63.0,0.9030172413793104,0.8729166666666667,0.0,108.0,20.0,
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer,162.0,7.0,53.0,25.0,2.0,47.0,0.8333333333333334,0.7142857142857143,0.0,37.0,2.0,
org.jfree.chart.renderer.xy.CyclicXYItemRenderer,237.0,5.0,24.0,22.0,2.0,22.0,1.25,1.0,0.0,37.0,1.0,
org.jfree.chart.renderer.xy.CyclicXYItemRenderer.OverwriteDataSet,59.0,14.0,21.0,11.0,1.0,7.0,0.7692307692307693,0.7142857142857143,0.0,17.0,2.0,
org.jfree.chart.renderer.xy.DefaultXYItemRenderer,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,
org.jfree.chart.renderer.xy.DeviationRenderer,145.0,11.0,54.0,25.0,2.0,44.0,0.6,0.5454545454545454,0.0,32.0,1.0,
org.jfree.chart.renderer.xy.DeviationRenderer.State,9.0,1.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,
org.jfree.chart.renderer.xy.HighLowRenderer,215.0,14.0,55.0,29.0,1.0,41.0,0.7692307692307693,0.7142857142857143,0.0,60.0,7.0,
org.jfree.chart.renderer.xy.StackedXYAreaRenderer,299.0,16.0,83.0,35.0,2.0,69.0,0.8444444444444444,0.7916666666666666,0.0,67.0,5.0,
org.jfree.chart.renderer.xy.StackedXYAreaRenderer.StackedXYAreaRendererState,34.0,8.0,11.0,8.0,2.0,3.0,0.75,0.65625,0.0,8.0,4.0,
org.jfree.chart.renderer.xy.StackedXYAreaRenderer2,258.0,12.0,45.0,24.0,2.0,34.0,0.8636363636363636,0.7916666666666666,0.0,47.0,2.0,
org.jfree.chart.renderer.xy.StackedXYBarRenderer,202.0,10.0,60.0,28.0,2.0,51.0,0.7222222222222222,0.65,0.0,51.0,2.0,
