Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
org.jfree.data.xy.CategoryTableXYDataset,108.0,25.0,48.0,14.0,1.0,26.0,0.5833333333333334,0.56,0.0,34.0,2.0,
org.jfree.data.xy.DefaultHighLowDataset,138.0,19.0,30.0,14.0,1.0,11.0,0.8333333333333334,0.7894736842105263,0.0,47.0,7.0,
org.jfree.data.xy.DefaultIntervalXYDataset,179.0,20.0,41.0,13.0,1.0,21.0,0.5526315789473685,0.525,0.0,54.0,2.0,
org.jfree.data.xy.DefaultOHLCDataset,101.0,19.0,30.0,12.0,1.0,11.0,0.6666666666666666,0.631578947368421,0.0,32.0,2.0,
org.jfree.data.xy.DefaultTableXYDataset,264.0,35.0,89.0,20.0,1.0,58.0,0.7411764705882353,0.72,0.0,85.0,5.0,
org.jfree.data.xy.DefaultWindDataset,115.0,13.0,33.0,15.0,1.0,23.0,0.5833333333333334,0.5384615384615384,0.0,34.0,2.0,
org.jfree.data.xy.WindDataItem,55.0,6.0,12.0,7.0,1.0,6.0,0.5333333333333333,0.4444444444444444,0.0,25.0,3.0,
org.jfree.data.xy.DefaultXYDataset,129.0,15.0,37.0,14.0,1.0,22.0,0.42857142857142855,0.4,0.0,42.0,2.0,
org.jfree.data.xy.DefaultXYZDataset,145.0,17.0,39.0,14.0,1.0,22.0,0.46875,0.4411764705882353,0.0,46.0,2.0,
org.jfree.data.xy.IntervalXYDelegate,160.0,21.0,37.0,14.0,1.0,17.0,0.8166666666666667,0.7777777777777778,0.0,49.0,6.0,
org.jfree.data.xy.MatrixSeries,70.0,11.0,18.0,9.0,1.0,7.0,0.8,0.7272727272727273,1.0,25.0,2.0,
org.jfree.data.xy.MatrixSeriesCollection,102.0,16.0,35.0,11.0,1.0,21.0,0.6333333333333333,0.59375,0.0,31.0,2.0,
org.jfree.data.xy.NormalizedMatrixSeries,31.0,6.0,13.0,7.0,2.0,7.0,0.7333333333333333,0.6111111111111112,0.0,6.0,3.0,
org.jfree.data.xy.OHLCDataItem,77.0,9.0,18.0,12.0,1.0,9.0,0.8035714285714286,0.7142857142857143,0.0,28.0,7.0,
org.jfree.data.xy.Vector,44.0,7.0,10.0,7.0,1.0,3.0,0.16666666666666666,0.1428571428571429,0.0,15.0,2.0,
org.jfree.data.xy.VectorDataItem,34.0,6.0,15.0,3.0,1.0,9.0,0.0,0.0,0.0,12.0,0.0,
org.jfree.data.xy.VectorSeries,36.0,9.0,20.0,6.0,1.0,12.0,0.0,0.0,0.0,8.0,0.0,
org.jfree.data.xy.VectorSeriesCollection,102.0,18.0,40.0,14.0,1.0,22.0,0.23529411764705882,0.2222222222222222,0.0,32.0,1.0,
org.jfree.data.xy.XIntervalDataItem,35.0,5.0,13.0,4.0,1.0,8.0,0.0,0.0,0.0,14.0,0.0,
org.jfree.data.xy.XIntervalSeries,23.0,6.0,12.0,7.0,1.0,7.0,0.0,0.0,0.0,5.0,0.0,
org.jfree.data.xy.XIntervalSeriesCollection,72.0,14.0,31.0,12.0,1.0,17.0,0.3076923076923077,0.2857142857142857,0.0,22.0,1.0,
org.jfree.data.xy.XYBarDataset,102.0,22.0,37.0,12.0,1.0,15.0,0.5,0.4772727272727273,0.0,33.0,2.0,
org.jfree.data.xy.XYCoordinate,65.0,8.0,10.0,9.0,1.0,3.0,0.2857142857142857,0.25,0.0,28.0,2.0,
org.jfree.data.xy.XYDataItem,88.0,13.0,23.0,10.0,1.0,12.0,0.6666666666666666,0.6153846153846154,0.0,28.0,3.0,
org.jfree.data.xy.XYDatasetTableModel,61.0,10.0,20.0,7.0,1.0,11.0,0.4444444444444444,0.4,0.0,24.0,1.0,
org.jfree.data.xy.XYInterval,55.0,7.0,7.0,5.0,1.0,0.0,0.6666666666666666,0.5714285714285714,0.0,21.0,5.0,
org.jfree.data.xy.XYIntervalDataItem,54.0,7.0,17.0,3.0,1.0,10.0,0.0,0.0,0.0,22.0,0.0,
org.jfree.data.xy.XYIntervalSeries,40.0,10.0,20.0,7.0,1.0,11.0,0.0,0.0,0.0,9.0,0.0,
org.jfree.data.xy.XYIntervalSeriesCollection,89.0,19.0,37.0,12.0,1.0,18.0,0.3888888888888889,0.368421052631579,0.0,28.0,1.0,
org.jfree.data.xy.XYSeries,288.0,34.0,55.0,16.0,1.0,32.0,0.8303030303030302,0.8058823529411765,0.0,86.0,5.0,
org.jfree.data.xy.XYSeriesCollection,171.0,31.0,71.0,18.0,1.0,44.0,0.7222222222222221,0.6989247311827957,0.0,56.0,3.0,
org.jfree.data.xy.YInterval,38.0,5.0,5.0,5.0,1.0,0.0,0.5,0.4,0.0,15.0,3.0,
org.jfree.data.xy.YIntervalDataItem,35.0,5.0,13.0,3.0,1.0,8.0,0.0,0.0,0.0,14.0,0.0,
org.jfree.data.xy.YIntervalSeries,31.0,8.0,16.0,7.0,1.0,9.0,0.0,0.0,0.0,7.0,0.0,
org.jfree.data.xy.YIntervalSeriesCollection,80.0,17.0,33.0,12.0,1.0,16.0,0.25,0.23529411764705888,0.0,25.0,1.0,
org.jfree.data.xy.YWithXInterval,38.0,5.0,5.0,5.0,1.0,0.0,0.5,0.4,0.0,15.0,3.0,
