Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
org.jfree.chart.annotations.CategoryLineAnnotation,173.0,19.0,53.0,23.0,1.0,34.0,0.738095238095238,0.6992481203007519,0.0,54.0,9.0,
org.jfree.chart.annotations.CategoryPointerAnnotation,204.0,23.0,68.0,28.0,3.0,45.0,0.8603896103896105,0.8229813664596273,0.0,50.0,16.0,
org.jfree.data.xy.CategoryTableXYDataset,108.0,25.0,48.0,14.0,1.0,26.0,0.5833333333333334,0.56,0.0,34.0,2.0,
org.jfree.chart.annotations.CategoryTextAnnotation,106.0,11.0,43.0,23.0,2.0,32.0,0.65,0.5909090909090908,1.0,32.0,4.0,
org.jfree.data.general.CombinedDataset,229.0,30.0,43.0,10.0,1.0,16.0,0.8275862068965517,0.8,0.0,71.0,1.0,
org.jfree.data.general.CombinedDataset.DatasetInfo,8.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,
org.jfree.data.general.DatasetChangeEvent,10.0,2.0,3.0,3.0,1.0,1.0,-0.0,0.0,0.0,2.0,1.0,
org.jfree.data.general.DatasetGroup,33.0,5.0,8.0,6.0,1.0,4.0,0.75,0.6,0.0,12.0,2.0,
org.jfree.data.general.DatasetUtilities,865.0,41.0,88.0,28.0,0.0,66.0,0.0,0.0,0.0,282.0,0.0,
org.jfree.data.xy.DefaultHighLowDataset,138.0,19.0,30.0,14.0,1.0,11.0,0.8333333333333334,0.7894736842105263,0.0,47.0,7.0,
org.jfree.data.xy.DefaultIntervalXYDataset,179.0,20.0,41.0,13.0,1.0,21.0,0.5526315789473685,0.525,0.0,54.0,2.0,
org.jfree.data.general.DefaultKeyedValueDataset,69.0,10.0,20.0,12.0,1.0,12.0,0.7222222222222222,0.65,0.0,24.0,2.0,
org.jfree.data.general.DefaultKeyedValues2DDataset,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,
org.jfree.data.general.DefaultKeyedValuesDataset,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,
org.jfree.data.xy.DefaultOHLCDataset,101.0,19.0,30.0,12.0,1.0,11.0,0.6666666666666666,0.631578947368421,0.0,32.0,2.0,
org.jfree.data.general.DefaultPieDataset,117.0,19.0,43.0,15.0,1.0,28.0,0.6111111111111112,0.5789473684210527,1.0,38.0,2.0,
org.jfree.data.xy.DefaultTableXYDataset,264.0,35.0,89.0,20.0,1.0,58.0,0.7411764705882353,0.72,0.0,85.0,5.0,
org.jfree.data.general.DefaultValueDataset,37.0,7.0,13.0,9.0,1.0,8.0,0.6666666666666666,0.5714285714285714,0.0,9.0,2.0,
org.jfree.data.xy.DefaultWindDataset,115.0,13.0,33.0,15.0,1.0,23.0,0.5833333333333334,0.5384615384615384,0.0,34.0,2.0,
org.jfree.data.xy.WindDataItem,55.0,6.0,12.0,7.0,1.0,6.0,0.5333333333333333,0.4444444444444444,0.0,25.0,3.0,
org.jfree.data.xy.DefaultXYDataset,129.0,15.0,37.0,14.0,1.0,22.0,0.42857142857142855,0.4,0.0,42.0,2.0,
org.jfree.data.xy.DefaultXYZDataset,145.0,17.0,39.0,14.0,1.0,22.0,0.46875,0.4411764705882353,0.0,46.0,2.0,
org.jfree.data.xy.IntervalXYDelegate,160.0,21.0,37.0,14.0,1.0,17.0,0.8166666666666667,0.7777777777777778,0.0,49.0,6.0,
org.jfree.data.xy.MatrixSeries,70.0,11.0,18.0,9.0,1.0,7.0,0.8,0.7272727272727273,1.0,25.0,2.0,
org.jfree.data.xy.MatrixSeriesCollection,102.0,16.0,35.0,11.0,1.0,21.0,0.6333333333333333,0.59375,0.0,31.0,2.0,
org.jfree.data.xy.NormalizedMatrixSeries,31.0,6.0,13.0,7.0,2.0,7.0,0.7333333333333333,0.6111111111111112,0.0,6.0,3.0,
org.jfree.data.xy.OHLCDataItem,77.0,9.0,18.0,12.0,1.0,9.0,0.8035714285714286,0.7142857142857143,0.0,28.0,7.0,
org.jfree.data.general.SeriesChangeEvent,6.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,
org.jfree.data.general.SeriesException,6.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,
org.jfree.data.general.SubSeriesDataset,130.0,23.0,30.0,7.0,1.0,8.0,0.3181818181818182,0.30434782608695654,0.0,39.0,2.0,
org.jfree.chart.annotations.TextAnnotation,123.0,17.0,36.0,19.0,1.0,19.0,0.8697916666666666,0.8186274509803921,1.0,43.0,13.0,
org.jfree.data.xy.Vector,44.0,7.0,10.0,7.0,1.0,3.0,0.16666666666666666,0.1428571428571429,0.0,15.0,2.0,
org.jfree.data.xy.VectorDataItem,34.0,6.0,15.0,3.0,1.0,9.0,0.0,0.0,0.0,12.0,0.0,
