Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
org.apache.commons.io.filefilter.TrueFileFilter,12.0,3.0,2.0,3.0,2.0,0.0,1.5,1.0,1.0,3.0,2.0,
org.apache.commons.io.filefilter.WildcardFileFilter,70.0,9.0,14.0,7.0,3.0,11.0,0.3125,0.2777777777777778,0.0,19.0,2.0,
org.apache.commons.io.filefilter.WildcardFilter,47.0,5.0,11.0,6.0,3.0,9.0,-0.0,0.0,0.0,19.0,1.0,
org.apache.commons.io.FilenameUtils,503.0,39.0,77.0,11.0,0.0,44.0,0.9298245614035089,0.905982905982906,0.0,217.0,6.0,
org.apache.commons.io.FileSystemUtils,236.0,13.0,57.0,23.0,0.0,47.0,0.9791666666666666,0.9038461538461539,1.0,61.0,7.0,
org.apache.commons.io.FileUtils,1050.0,96.0,216.0,39.0,0.0,152.0,1.001913875598086,0.9914772727272727,0.0,391.0,11.0,
org.apache.commons.io.HexDump,71.0,4.0,15.0,9.0,0.0,13.0,0.7777777777777777,0.5833333333333333,0.0,17.0,3.0,
org.apache.commons.io.input.AutoCloseInputStream,21.0,4.0,8.0,3.0,2.0,4.0,0.0,0.0,0.0,5.0,0.0,
org.apache.commons.io.input.BOMInputStream,133.0,17.0,25.0,9.0,2.0,14.0,0.859375,0.8088235294117647,0.0,38.0,8.0,
org.apache.commons.io.input.BoundedInputStream,84.0,14.0,22.0,6.0,1.0,11.0,0.6615384615384615,0.6142857142857143,0.0,22.0,5.0,
org.apache.commons.io.input.BrokenInputStream,29.0,7.0,8.0,3.0,1.0,2.0,0.16666666666666666,0.1428571428571429,0.0,11.0,1.0,
org.apache.commons.io.input.CharSequenceInputStream,114.0,14.0,32.0,13.0,1.0,23.0,0.75,0.6964285714285714,0.0,32.0,4.0,
org.apache.commons.io.input.CharSequenceReader,74.0,9.0,15.0,9.0,1.0,7.0,0.5416666666666666,0.4814814814814815,0.0,25.0,3.0,
org.apache.commons.io.input.ClassLoaderObjectInputStream,32.0,3.0,9.0,6.0,1.0,6.0,-0.0,0.0,0.0,9.0,1.0,
org.apache.commons.io.input.ClosedInputStream,7.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,
org.apache.commons.io.input.CloseShieldInputStream,9.0,2.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,
org.apache.commons.io.input.CountingInputStream,40.0,7.0,10.0,5.0,2.0,3.0,0.5,0.4285714285714286,0.0,12.0,1.0,
