Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
org.jfree.data.general.CombinedDataset,229.0,30.0,43.0,10.0,1.0,16.0,0.8275862068965517,0.8,0.0,71.0,1.0,
org.jfree.data.general.CombinedDataset.DatasetInfo,8.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,
org.jfree.data.general.DatasetChangeEvent,10.0,2.0,3.0,3.0,1.0,1.0,-0.0,0.0,0.0,2.0,1.0,
org.jfree.data.general.DatasetGroup,33.0,5.0,8.0,6.0,1.0,4.0,0.75,0.6,0.0,12.0,2.0,
org.jfree.data.general.DatasetUtilities,865.0,41.0,88.0,28.0,0.0,66.0,0.0,0.0,0.0,282.0,0.0,
org.jfree.data.general.DefaultKeyedValueDataset,69.0,10.0,20.0,12.0,1.0,12.0,0.7222222222222222,0.65,0.0,24.0,2.0,
org.jfree.data.general.DefaultKeyedValues2DDataset,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,
org.jfree.data.general.DefaultKeyedValuesDataset,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,
org.jfree.data.general.DefaultPieDataset,117.0,19.0,43.0,15.0,1.0,28.0,0.6111111111111112,0.5789473684210527,1.0,38.0,2.0,
org.jfree.data.general.DefaultValueDataset,37.0,7.0,13.0,9.0,1.0,8.0,0.6666666666666666,0.5714285714285714,0.0,9.0,2.0,
org.jfree.data.general.SeriesChangeEvent,6.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,
org.jfree.data.general.SeriesException,6.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,
org.jfree.data.general.SubSeriesDataset,130.0,23.0,30.0,7.0,1.0,8.0,0.3181818181818182,0.30434782608695654,0.0,39.0,2.0,
org.jfree.data.general.WaferMapDataset,105.0,19.0,33.0,14.0,1.0,17.0,0.8650793650793651,0.8195488721804511,0.0,32.0,7.0,
