Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
org.apache.commons.codec.language.Caverphone,24.0,5.0,9.0,5.0,2.0,5.0,1.0,0.8,0.0,7.0,1.0,
org.apache.commons.codec.language.Caverphone1,67.0,1.0,6.0,1.0,3.0,5.0,0.0,0.0,0.0,3.0,1.0,
org.apache.commons.codec.language.Caverphone2,70.0,1.0,6.0,1.0,3.0,5.0,0.0,0.0,0.0,3.0,1.0,
org.apache.commons.codec.language.ColognePhonetic,193.0,6.0,26.0,8.0,2.0,21.0,1.0,0.8333333333333334,0.0,55.0,10.0,
org.apache.commons.codec.language.ColognePhonetic.CologneBuffer,20.0,5.0,5.0,3.0,0.0,1.0,0.5,0.4,2.0,4.0,2.0,
org.apache.commons.codec.language.ColognePhonetic.CologneOutputBuffer,15.0,3.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,
org.apache.commons.codec.language.ColognePhonetic.CologneInputBuffer,26.0,6.0,8.0,3.0,1.0,2.0,0.0,0.0,0.0,6.0,0.0,
org.apache.commons.codec.language.DoubleMetaphone,695.0,38.0,64.0,7.0,2.0,29.0,0.9954954954954955,0.9692982456140351,0.0,294.0,6.0,
org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult,60.0,12.0,15.0,5.0,0.0,8.0,0.5454545454545454,0.5,0.0,13.0,3.0,
org.apache.commons.codec.language.MatchRatingApproachEncoder,183.0,11.0,43.0,8.0,2.0,33.0,0.9400000000000001,0.8545454545454545,0.0,58.0,6.0,
org.apache.commons.codec.language.Metaphone,287.0,12.0,35.0,7.0,2.0,24.0,0.9772727272727273,0.8958333333333334,0.0,134.0,4.0,
org.apache.commons.codec.language.Nysiis,126.0,8.0,32.0,8.0,2.0,26.0,0.9924812030075189,0.868421052631579,0.0,45.0,19.0,
org.apache.commons.codec.language.RefinedSoundex,59.0,8.0,17.0,6.0,2.0,12.0,0.9642857142857143,0.84375,0.0,18.0,3.0,
org.apache.commons.codec.language.Soundex,88.0,12.0,20.0,6.0,2.0,11.0,0.9636363636363636,0.8833333333333333,0.0,25.0,4.0,
org.apache.commons.codec.language.SoundexUtils,35.0,3.0,15.0,5.0,0.0,12.0,0.0,0.0,0.0,13.0,0.0,
org.apache.commons.codec.net.BCodec,94.0,14.0,22.0,7.0,2.0,14.0,0.6923076923076923,0.6428571428571428,0.0,40.0,1.0,
org.apache.commons.codec.net.QCodec,173.0,16.0,23.0,9.0,2.0,13.0,0.8933333333333333,0.8375,0.0,53.0,5.0,
org.apache.commons.codec.net.QuotedPrintableCodec,150.0,18.0,28.0,10.0,2.0,21.0,0.9294117647058824,0.8777777777777778,0.0,55.0,5.0,
org.apache.commons.codec.net.RFC1522Codec,63.0,6.0,24.0,7.0,0.0,19.0,0.8,0.6666666666666667,3.0,22.0,3.0,
