Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
org.apache.tools.ant.DynamicElementNS,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
org.apache.tools.ant.Executor,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,
org.apache.tools.ant.ExitException,15.0,3.0,3.0,2.0,1.0,1.0,0.75,0.5,0.0,2.0,2.0,
org.apache.tools.ant.ExitStatusException,19.0,4.0,3.0,4.0,2.0,1.0,0.6666666666666666,0.5,0.0,2.0,2.0,
org.apache.tools.ant.ExtensionPoint,10.0,2.0,3.0,4.0,2.0,1.0,-0.0,0.0,0.0,4.0,1.0,
org.apache.tools.ant.FileScanner,16.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,
org.apache.tools.ant.filters.BaseFilterReader,69.0,10.0,18.0,10.0,1.0,9.0,0.925925925925926,0.8333333333333334,5.0,25.0,3.0,
org.apache.tools.ant.filters.BaseParamFilterReader,18.0,4.0,5.0,3.0,2.0,2.0,0.6666666666666666,0.5,14.0,3.0,1.0,
org.apache.tools.ant.filters.ChainableReader,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,
org.apache.tools.ant.filters.ClassConstants,73.0,4.0,17.0,12.0,2.0,14.0,1.0,0.75,0.0,24.0,2.0,
org.apache.tools.ant.filters.ConcatFilter,85.0,9.0,31.0,8.0,3.0,23.0,0.8125,0.7222222222222222,0.0,23.0,4.0,
org.apache.tools.ant.filters.EscapeUnicode,47.0,5.0,17.0,6.0,3.0,13.0,0.5,0.4,0.0,10.0,1.0,
org.apache.tools.ant.filters.ExpandProperties,39.0,4.0,11.0,6.0,2.0,8.0,1.0,0.75,0.0,10.0,1.0,
org.apache.tools.ant.filters.FixCrLfFilter,572.0,18.0,62.0,19.0,3.0,45.0,0.9518716577540108,0.898989898989899,0.0,30.0,11.0,
org.apache.tools.ant.filters.FixCrLfFilter.SimpleFilterReader,69.0,16.0,20.0,6.0,1.0,10.0,0.85,0.796875,6.0,15.0,4.0,
org.apache.tools.ant.filters.FixCrLfFilter.MaskJavaTabLiteralsFilter,99.0,3.0,6.0,4.0,2.0,3.0,0.8333333333333334,0.5555555555555556,0.0,50.0,9.0,
org.apache.tools.ant.filters.FixCrLfFilter.NormalizeEolFilter,69.0,2.0,6.0,6.0,2.0,4.0,0.5,0.25,0.0,26.0,4.0,
org.apache.tools.ant.filters.FixCrLfFilter.AddEofFilter,18.0,2.0,4.0,3.0,2.0,2.0,1.0,0.5,0.0,6.0,1.0,
org.apache.tools.ant.filters.FixCrLfFilter.RemoveEofFilter,20.0,2.0,5.0,3.0,2.0,3.0,-0.0,0.0,0.0,5.0,1.0,
org.apache.tools.ant.filters.FixCrLfFilter.AddTabFilter,71.0,2.0,6.0,3.0,2.0,4.0,0.5,0.25,0.0,27.0,2.0,
org.apache.tools.ant.filters.FixCrLfFilter.RemoveTabFilter,30.0,2.0,6.0,3.0,2.0,4.0,0.5,0.25,0.0,10.0,2.0,
org.apache.tools.ant.filters.FixCrLfFilter.AddAsisRemove,35.0,6.0,11.0,7.0,1.0,6.0,1.0,0.8333333333333334,0.0,12.0,0.0,
org.apache.tools.ant.filters.FixCrLfFilter.CrLf,41.0,6.0,11.0,7.0,1.0,6.0,1.0,0.8333333333333334,0.0,14.0,0.0,
org.apache.tools.ant.filters.HeadFilter,93.0,10.0,26.0,9.0,3.0,17.0,0.911111111111111,0.8200000000000001,0.0,26.0,10.0,
org.apache.tools.ant.filters.LineContains,88.0,10.0,30.0,9.0,3.0,21.0,0.8888888888888888,0.8,0.0,25.0,5.0,
org.apache.tools.ant.filters.LineContains.Contains,9.0,2.0,2.0,1.0,0.0,0.0,-0.0,0.0,0.0,2.0,1.0,
org.apache.tools.ant.filters.LineContainsRegExp,95.0,11.0,38.0,10.0,3.0,28.0,0.9,0.8181818181818181,0.0,28.0,7.0,
org.apache.tools.ant.filters.PrefixLines,64.0,7.0,19.0,6.0,3.0,13.0,0.8333333333333334,0.7142857142857143,0.0,19.0,3.0,
org.apache.tools.ant.filters.ReplaceTokens,191.0,16.0,57.0,16.0,3.0,42.0,0.9185185185185186,0.8611111111111112,0.0,58.0,9.0,
org.apache.tools.ant.filters.ReplaceTokens.Token,16.0,4.0,4.0,1.0,0.0,0.0,0.6666666666666666,0.5,0.0,4.0,2.0,
org.apache.tools.ant.filters.SortFilter,127.0,11.0,37.0,13.0,3.0,27.0,0.9142857142857143,0.8311688311688312,0.0,41.0,7.0,
org.apache.tools.ant.filters.StringInputStream,8.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,
org.apache.tools.ant.filters.StripJavaComments,62.0,4.0,5.0,4.0,2.0,2.0,1.0,0.75,0.0,21.0,3.0,
org.apache.tools.ant.filters.StripLineBreaks,55.0,7.0,17.0,6.0,3.0,11.0,0.8888888888888888,0.7619047619047619,0.0,16.0,3.0,
org.apache.tools.ant.filters.StripLineComments,89.0,8.0,27.0,9.0,3.0,20.0,0.8095238095238094,0.7083333333333333,0.0,24.0,3.0,
org.apache.tools.ant.filters.StripLineComments.Comment,15.0,3.0,4.0,2.0,0.0,1.0,0.5,0.33333333333333337,0.0,5.0,1.0,
org.apache.tools.ant.filters.SuffixLines,73.0,7.0,21.0,6.0,3.0,15.0,0.8333333333333334,0.7142857142857143,0.0,22.0,3.0,
org.apache.tools.ant.filters.TabsToSpaces,57.0,7.0,17.0,6.0,3.0,11.0,0.9166666666666666,0.7857142857142857,0.0,15.0,4.0,
org.apache.tools.ant.filters.TailFilter,108.0,10.0,30.0,10.0,3.0,21.0,0.9333333333333333,0.84,0.0,32.0,10.0,
org.apache.tools.ant.filters.TokenFilter,321.0,19.0,61.0,24.0,2.0,44.0,0.8222222222222223,0.7789473684210526,0.0,31.0,5.0,
org.apache.tools.ant.filters.TokenFilter.Filter,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,
org.apache.tools.ant.filters.TokenFilter.FileTokenizer,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,
org.apache.tools.ant.filters.TokenFilter.StringTokenizer,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,
org.apache.tools.ant.filters.TokenFilter.ChainableReaderFilter,15.0,2.0,5.0,4.0,2.0,3.0,-0.0,0.0,7.0,3.0,1.0,
org.apache.tools.ant.filters.TokenFilter.ReplaceString,32.0,3.0,11.0,4.0,3.0,8.0,0.5,0.33333333333333337,0.0,9.0,2.0,
org.apache.tools.ant.filters.TokenFilter.ContainsString,16.0,2.0,4.0,2.0,2.0,2.0,-0.0,0.0,0.0,6.0,1.0,
org.apache.tools.ant.filters.TokenFilter.ReplaceRegex,44.0,5.0,16.0,7.0,3.0,11.0,0.8125,0.65,0.0,11.0,8.0,
org.apache.tools.ant.filters.TokenFilter.ContainsRegex,47.0,5.0,16.0,7.0,3.0,11.0,0.8125,0.65,0.0,14.0,8.0,
org.apache.tools.ant.filters.TokenFilter.Trim,5.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,
org.apache.tools.ant.filters.TokenFilter.IgnoreBlank,8.0,1.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,
org.apache.tools.ant.filters.TokenFilter.DeleteCharacters,41.0,4.0,13.0,6.0,2.0,9.0,0.6666666666666666,0.5,0.0,14.0,1.0,
org.apache.tools.ant.filters.UniqFilter,7.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,
org.apache.tools.ant.filters.util.ChainReaderHelper,158.0,10.0,44.0,18.0,0.0,34.0,0.911111111111111,0.8200000000000001,0.0,45.0,5.0,
org.apache.tools.ant.filters.util.JavaClassHelper,28.0,1.0,14.0,8.0,0.0,13.0,0.0,0.0,0.0,5.0,1.0,
org.apache.tools.ant.helper.AntXMLContext,152.0,31.0,57.0,16.0,0.0,27.0,0.9404761904761905,0.9101382488479263,0.0,45.0,14.0,
org.apache.tools.ant.helper.DefaultExecutor,24.0,2.0,4.0,5.0,1.0,2.0,1.0,0.5,0.0,9.0,1.0,
org.apache.tools.ant.helper.IgnoreDependenciesExecutor,29.0,2.0,7.0,7.0,1.0,5.0,1.0,0.5,0.0,11.0,1.0,
org.apache.tools.ant.helper.ProjectHelper2,670.0,13.0,201.0,40.0,1.0,189.0,0.9285714285714285,0.8571428571428572,0.0,63.0,7.0,
org.apache.tools.ant.helper.ProjectHelper2.AntHandler,24.0,6.0,11.0,8.0,0.0,5.0,0.0,0.0,4.0,9.0,0.0,
org.apache.tools.ant.helper.ProjectHelper2.RootHandler,65.0,9.0,34.0,11.0,1.0,25.0,0.45833333333333337,0.40740740740740744,0.0,14.0,3.0,
org.apache.tools.ant.helper.ProjectHelper2.MainHandler,15.0,1.0,5.0,5.0,1.0,4.0,0.0,0.0,0.0,5.0,0.0,
org.apache.tools.ant.helper.ProjectHelper2.ProjectHandler,120.0,2.0,48.0,13.0,1.0,46.0,0.0,0.0,0.0,40.0,0.0,
