Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
org.apache.commons.lang.exception.NestableDelegate,159.0,13.0,49.0,14.0,1.0,39.0,0.9166666666666666,0.8461538461538461,0.0,50.0,7.0,
org.apache.commons.lang.exception.NestableError,67.0,17.0,21.0,7.0,1.0,11.0,0.7708333333333333,0.7254901960784313,2.0,20.0,3.0,
org.apache.commons.lang.exception.NestableException,67.0,17.0,21.0,7.0,1.0,11.0,0.7708333333333333,0.7254901960784313,2.0,20.0,3.0,
org.apache.commons.lang.exception.NestableRuntimeException,67.0,17.0,21.0,7.0,1.0,11.0,0.7708333333333333,0.7254901960784313,5.0,20.0,3.0,
org.apache.commons.lang.IllegalClassException,23.0,4.0,6.0,3.0,1.0,4.0,1.3333333333333333,1.0,0.0,2.0,1.0,
org.apache.commons.lang.IncompleteArgumentException,15.0,3.0,5.0,2.0,1.0,3.0,1.5,1.0,0.0,2.0,1.0,
org.apache.commons.lang.IntHashMap,148.0,13.0,17.0,8.0,0.0,6.0,0.875,0.8076923076923077,0.0,40.0,6.0,
org.apache.commons.lang.IntHashMap.Entry,12.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,
org.apache.commons.lang.LocaleUtils,134.0,11.0,39.0,11.0,0.0,29.0,0.95,0.8636363636363636,0.0,49.0,4.0,
org.apache.commons.lang.math.DoubleRange,169.0,21.0,33.0,14.0,1.0,15.0,0.7928571428571429,0.7551020408163265,0.0,53.0,11.0,
org.apache.commons.lang.math.FloatRange,167.0,21.0,33.0,14.0,1.0,15.0,0.7928571428571429,0.7551020408163265,0.0,53.0,11.0,
org.apache.commons.lang.math.Fraction,429.0,34.0,60.0,16.0,1.0,29.0,0.9528619528619529,0.9248366013071896,0.0,167.0,9.0,
org.apache.commons.lang.math.IEEE754rUtils,102.0,12.0,7.0,3.0,0.0,5.0,0.0,0.0,0.0,60.0,0.0,
org.apache.commons.lang.math.IntRange,161.0,22.0,32.0,14.0,1.0,13.0,0.7891156462585033,0.7532467532467533,0.0,47.0,11.0,
org.apache.commons.lang.math.JVMRandom,73.0,13.0,18.0,9.0,1.0,7.0,0.8888888888888888,0.8205128205128205,0.0,26.0,3.0,
org.apache.commons.lang.math.LongRange,161.0,22.0,32.0,14.0,1.0,13.0,0.7891156462585033,0.7532467532467533,0.0,47.0,11.0,
org.apache.commons.lang.math.NumberRange,102.0,8.0,22.0,9.0,1.0,15.0,0.6857142857142857,0.6,0.0,42.0,7.0,
org.apache.commons.lang.math.NumberUtils,676.0,51.0,60.0,18.0,0.0,39.0,1.02,1.0,0.0,325.0,18.0,
org.apache.commons.lang.math.RandomUtils,39.0,12.0,10.0,6.0,0.0,5.0,0.5454545454545454,0.5,0.0,12.0,1.0,
org.apache.commons.lang.math.Range,114.0,25.0,39.0,10.0,0.0,18.0,0.0,0.0,6.0,43.0,0.0,
org.apache.commons.lang.mutable.Mutable,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,
org.apache.commons.lang.mutable.MutableBoolean,53.0,14.0,17.0,6.0,1.0,6.0,0.5769230769230769,0.5357142857142857,0.0,13.0,2.0,
org.apache.commons.lang.mutable.MutableByte,81.0,23.0,23.0,11.0,1.0,6.0,0.5681818181818182,0.5434782608695652,0.0,19.0,2.0,
