Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
org.jfree.data.ComparableObjectItem,58.0,8.0,15.0,8.0,1.0,7.0,0.6666666666666666,0.5833333333333333,0.0,21.0,3.0,
org.jfree.data.ComparableObjectSeries,192.0,20.0,36.0,12.0,1.0,20.0,0.7105263157894737,0.675,0.0,64.0,4.0,
org.jfree.data.DefaultKeyedValue,50.0,8.0,15.0,9.0,1.0,7.0,0.6190476190476192,0.5416666666666667,0.0,16.0,3.0,
org.jfree.data.DefaultKeyedValues,191.0,22.0,54.0,21.0,1.0,37.0,0.7142857142857143,0.6818181818181819,0.0,57.0,4.0,
org.jfree.data.DefaultKeyedValues2D,253.0,23.0,66.0,15.0,1.0,47.0,0.7090909090909091,0.6782608695652175,0.0,86.0,5.0,
org.jfree.data.DomainOrder,43.0,5.0,9.0,7.0,1.0,4.0,0.9,0.72,0.0,19.0,2.0,
org.jfree.data.KeyedObject,42.0,6.0,9.0,7.0,1.0,3.0,0.6666666666666667,0.5555555555555556,0.0,15.0,3.0,
org.jfree.data.KeyedObjects,151.0,16.0,41.0,12.0,1.0,27.0,0.6666666666666666,0.625,0.0,52.0,2.0,
org.jfree.data.KeyedObjects2D,252.0,22.0,64.0,12.0,1.0,45.0,0.6309523809523809,0.6022727272727273,0.0,86.0,4.0,
org.jfree.data.KeyedValueComparator,81.0,4.0,13.0,10.0,1.0,9.0,0.3333333333333333,0.25,0.0,37.0,2.0,
org.jfree.data.KeyedValueComparatorType,29.0,4.0,6.0,6.0,0.0,2.0,0.888888888888889,0.6666666666666667,0.0,10.0,1.0,
org.jfree.data.KeyToGroupMap,158.0,12.0,46.0,17.0,1.0,37.0,0.6590909090909091,0.6041666666666667,0.0,51.0,4.0,
org.jfree.data.RangeType,43.0,5.0,9.0,7.0,1.0,4.0,0.9,0.72,0.0,19.0,2.0,
org.jfree.data.UnknownKeyException,5.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,
