Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
org.jfree.data.time.DateRange,32.0,7.0,13.0,6.0,1.0,9.0,0.7222222222222223,0.6190476190476191,0.0,4.0,3.0,
org.jfree.data.time.Day,159.0,22.0,39.0,15.0,1.0,23.0,0.9166666666666666,0.875,0.0,44.0,8.0,
org.jfree.data.time.DynamicTimeSeriesCollection,387.0,42.0,67.0,27.0,1.0,30.0,0.9323725055432373,0.9101731601731602,0.0,99.0,22.0,
org.jfree.data.time.DynamicTimeSeriesCollection.ValueSequence,18.0,4.0,4.0,3.0,0.0,1.0,0.3333333333333333,0.25,0.0,4.0,1.0,
org.jfree.data.time.FixedMillisecond,94.0,17.0,19.0,9.0,1.0,7.0,0.625,0.5882352941176471,0.0,28.0,2.0,
org.jfree.data.time.Hour,171.0,22.0,44.0,16.0,1.0,28.0,0.7891156462585033,0.7532467532467533,0.0,47.0,7.0,
org.jfree.data.time.Millisecond,157.0,18.0,34.0,15.0,1.0,22.0,0.7647058823529411,0.7222222222222222,0.0,42.0,9.0,
org.jfree.data.time.Minute,188.0,21.0,47.0,17.0,1.0,32.0,0.7875,0.75,0.0,47.0,8.0,
org.jfree.data.time.Month,207.0,23.0,44.0,15.0,1.0,27.0,0.7454545454545454,0.7130434782608696,0.0,59.0,5.0,
org.jfree.data.time.MovingAverage,184.0,6.0,30.0,14.0,0.0,28.0,0.0,0.0,0.0,53.0,0.0,
org.jfree.data.time.Quarter,171.0,21.0,40.0,17.0,1.0,25.0,0.8111111111111111,0.7724867724867726,0.0,44.0,9.0,
org.jfree.data.time.Second,177.0,19.0,45.0,18.0,1.0,32.0,0.7361111111111112,0.6973684210526316,0.0,50.0,8.0,
org.jfree.data.time.SimpleTimePeriod,77.0,7.0,18.0,8.0,1.0,12.0,0.611111111111111,0.5238095238095238,0.0,34.0,3.0,
org.jfree.data.time.TimePeriodAnchor,44.0,5.0,8.0,7.0,1.0,3.0,0.9,0.72,0.0,19.0,2.0,
org.jfree.data.time.TimePeriodFormatException,5.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,
org.jfree.data.time.TimePeriodValue,58.0,8.0,16.0,11.0,1.0,9.0,0.6190476190476192,0.5416666666666667,0.0,18.0,3.0,
org.jfree.data.time.TimePeriodValues,245.0,27.0,59.0,15.0,1.0,35.0,0.9038461538461539,0.8703703703703703,0.0,64.0,12.0,
org.jfree.data.time.TimePeriodValuesCollection,195.0,24.0,66.0,21.0,1.0,45.0,0.8043478260869565,0.7708333333333334,0.0,62.0,4.0,
org.jfree.data.time.TimeSeries,462.0,44.0,96.0,26.0,1.0,66.0,0.8992248062015503,0.8787878787878788,0.0,129.0,9.0,
org.jfree.data.time.TimeSeriesCollection,252.0,34.0,75.0,26.0,1.0,48.0,0.8242424242424242,0.8,0.0,71.0,5.0,
org.jfree.data.time.TimeSeriesDataItem,77.0,9.0,18.0,11.0,1.0,10.0,0.6666666666666667,0.5925925925925926,0.0,29.0,3.0,
org.jfree.data.time.TimeSeriesTableModel,115.0,11.0,20.0,12.0,1.0,11.0,0.825,0.75,0.0,49.0,4.0,
org.jfree.data.time.TimeTableXYDataset,190.0,32.0,62.0,23.0,1.0,36.0,0.8145161290322581,0.7890625,0.0,61.0,4.0,
org.jfree.data.time.Week,273.0,25.0,52.0,18.0,1.0,34.0,0.8095238095238096,0.7771428571428571,0.0,75.0,7.0,
org.jfree.data.time.Year,121.0,18.0,28.0,14.0,1.0,15.0,0.8235294117647058,0.7777777777777778,0.0,37.0,4.0,
